Year,industry,installations,operational_stock,industry_encoded
2011,Electrical/electronics unspecified,0,9835,Electrical/electronics unspecified
2012,Electrical/electronics unspecified,0,9835,Electrical/electronics unspecified
2013,Electrical/electronics unspecified,0,9835,Electrical/electronics unspecified
2014,Electrical/electronics unspecified,495,10330,Electrical/electronics unspecified
2015,Electrical/electronics unspecified,269,10599,Electrical/electronics unspecified
2016,Electrical/electronics unspecified,349,9641,Electrical/electronics unspecified
2017,Electrical/electronics unspecified,1270,9071,Electrical/electronics unspecified
2018,Electrical/electronics unspecified,0,5519,Electrical/electronics unspecified
2019,Electrical/electronics unspecified,0,2303,Electrical/electronics unspecified
2020,Electrical/electronics unspecified,0,2303,Electrical/electronics unspecified
2021,Electrical/electronics unspecified,0,2303,Electrical/electronics unspecified
1993,Electronic components/devices,0,0,Electronic components/devices
1994,Electronic components/devices,0,0,Electronic components/devices
1995,Electronic components/devices,0,0,Electronic components/devices
1996,Electronic components/devices,0,0,Electronic components/devices
1997,Electronic components/devices,0,0,Electronic components/devices
1998,Electronic components/devices,0,0,Electronic components/devices
1999,Electronic components/devices,0,0,Electronic components/devices
2000,Electronic components/devices,0,0,Electronic components/devices
2001,Electronic components/devices,0,0,Electronic components/devices
2002,Electronic components/devices,0,0,Electronic components/devices
2003,Electronic components/devices,0,0,Electronic components/devices
2004,Electronic components/devices,0,0,Electronic components/devices
2005,Electronic components/devices,0,0,Electronic components/devices
2006,Electronic components/devices,0,0,Electronic components/devices
2007,Electronic components/devices,2,2,Electronic components/devices
2008,Electronic components/devices,152,154,Electronic components/devices
2009,Electronic components/devices,201,355,Electronic components/devices
2010,Electronic components/devices,1,356,Electronic components/devices
2011,Electronic components/devices,111,467,Electronic components/devices
2012,Electronic components/devices,241,708,Electronic components/devices
2013,Electronic components/devices,365,1073,Electronic components/devices
2014,Electronic components/devices,755,1828,Electronic components/devices
2015,Electronic components/devices,1635,3463,Electronic components/devices
2016,Electronic components/devices,816,4279,Electronic components/devices
2017,Electronic components/devices,618,4897,Electronic components/devices
2018,Electronic components/devices,3352,8249,Electronic components/devices
2019,Electronic components/devices,1834,10081,Electronic components/devices
2020,Electronic components/devices,2342,12271,Electronic components/devices
2021,Electronic components/devices,1393,13463,Electronic components/devices
1993,Food and beverages,0,0,Food and beverages
1994,Food and beverages,0,0,Food and beverages
1995,Food and beverages,0,0,Food and beverages
1996,Food and beverages,0,0,Food and beverages
1997,Food and beverages,0,0,Food and beverages
1998,Food and beverages,0,0,Food and beverages
1999,Food and beverages,0,0,Food and beverages
2000,Food and beverages,0,0,Food and beverages
2001,Food and beverages,0,0,Food and beverages
2002,Food and beverages,0,0,Food and beverages
2003,Food and beverages,0,0,Food and beverages
2004,Food and beverages,628,628,Food and beverages
2005,Food and beverages,704,1332,Food and beverages
2006,Food and beverages,635,1967,Food and beverages
2007,Food and beverages,759,2726,Food and beverages
2008,Food and beverages,776,3502,Food and beverages
2009,Food and beverages,630,4132,Food and beverages
2010,Food and beverages,935,5067,Food and beverages
2011,Food and beverages,820,5887,Food and beverages
2012,Food and beverages,672,6559,Food and beverages
2013,Food and beverages,1120,7679,Food and beverages
2014,Food and beverages,1043,8722,Food and beverages
2015,Food and beverages,1094,9816,Food and beverages
2016,Food and beverages,1136,10324,Food and beverages
2017,Food and beverages,1598,11218,Food and beverages
2018,Food and beverages,2753,13336,Food and beverages
2019,Food and beverages,2224,14801,Food and beverages
2020,Food and beverages,2715,16740,Food and beverages
2021,Food and beverages,3402,19512,Food and beverages
1993,Glass (AutoParts),0,0,Glass (AutoParts)
1994,Glass (AutoParts),0,0,Glass (AutoParts)
1995,Glass (AutoParts),0,0,Glass (AutoParts)
1996,Glass (AutoParts),0,0,Glass (AutoParts)
1997,Glass (AutoParts),0,0,Glass (AutoParts)
1998,Glass (AutoParts),0,0,Glass (AutoParts)
1999,Glass (AutoParts),0,0,Glass (AutoParts)
2000,Glass (AutoParts),0,0,Glass (AutoParts)
2001,Glass (AutoParts),0,0,Glass (AutoParts)
2002,Glass (AutoParts),0,0,Glass (AutoParts)
2003,Glass (AutoParts),0,0,Glass (AutoParts)
2004,Glass (AutoParts),0,0,Glass (AutoParts)
2005,Glass (AutoParts),0,0,Glass (AutoParts)
2006,Glass (AutoParts),0,0,Glass (AutoParts)
2007,Glass (AutoParts),0,0,Glass (AutoParts)
2008,Glass (AutoParts),0,0,Glass (AutoParts)
2009,Glass (AutoParts),0,0,Glass (AutoParts)
2010,Glass (AutoParts),0,0,Glass (AutoParts)
2011,Glass (AutoParts),228,228,Glass (AutoParts)
2012,Glass (AutoParts),76,304,Glass (AutoParts)
2013,Glass (AutoParts),95,399,Glass (AutoParts)
2014,Glass (AutoParts),129,528,Glass (AutoParts)
2015,Glass (AutoParts),268,796,Glass (AutoParts)
2016,Glass (AutoParts),217,1013,Glass (AutoParts)
2017,Glass (AutoParts),165,1178,Glass (AutoParts)
2018,Glass (AutoParts),102,1280,Glass (AutoParts)
2019,Glass (AutoParts),98,1378,Glass (AutoParts)
2020,Glass (AutoParts),64,1442,Glass (AutoParts)
2021,Glass (AutoParts),60,1502,Glass (AutoParts)
1993,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
1994,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
1995,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
1996,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
1997,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
1998,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
1999,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
2000,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
2001,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
2002,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
2003,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
2004,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
2005,Glass ceramics stone mineral products (non-auto,0,0,Glass ceramics stone mineral products (non-auto
2006,Glass ceramics stone mineral products (non-auto,31,31,Glass ceramics stone mineral products (non-auto
2007,Glass ceramics stone mineral products (non-auto,18,49,Glass ceramics stone mineral products (non-auto
2008,Glass ceramics stone mineral products (non-auto,11,60,Glass ceramics stone mineral products (non-auto
2009,Glass ceramics stone mineral products (non-auto,16,76,Glass ceramics stone mineral products (non-auto
2010,Glass ceramics stone mineral products (non-auto,11,87,Glass ceramics stone mineral products (non-auto
2011,Glass ceramics stone mineral products (non-auto,14,101,Glass ceramics stone mineral products (non-auto
2012,Glass ceramics stone mineral products (non-auto,114,215,Glass ceramics stone mineral products (non-auto
2013,Glass ceramics stone mineral products (non-auto,30,245,Glass ceramics stone mineral products (non-auto
2014,Glass ceramics stone mineral products (non-auto,43,288,Glass ceramics stone mineral products (non-auto
2015,Glass ceramics stone mineral products (non-auto,0,426,Glass ceramics stone mineral products (non-auto
